marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,14841622,R1K7K9DYKS8WZO,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,works well,2015-07-11
US,558198,R2I827KG9NMVMR,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,Exactly what i needed plus it arrived much much earlier than shipping predicted.,2015-07-04
US,52524582,R3GUXWHR352TVS,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Quality built,"Well made, but make sure you get the right cable ends. There are a variety of male and female ends. This one will extend an antenna on a linksys router. I would suggest using an antenna with some gain to overcome the line loss in this long of a cable.",2015-07-03
US,43470750,RAQKVRR50YCIP,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,Aloud to move antenna to beter location,2015-06-27
US,31577098,R2CF2838V8T3LD,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,3,0,0,N,Y,Three Stars,This is merely a cable. It works.,2015-06-23
US,15110561,R3K0RJ6O5LDFUB,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,As expected.,As expected.,2015-06-22
US,10638977,R2UC4GBWTH2OI7,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,3,0,0,N,Y,"Okay, but too long for my setup.","The cable is nice and all, but not quite what I expect for my ALFA AWUS026NHV. There is a 10% signal loss, which is not great. Especially due to the distance between my AP at 0.4 miles where signal is already a poor 45-50% signal with a 13DBI antenna. I may have picked something too long.",2015-06-20
US,52271952,R1ULU11LCGV2V9,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,1,0,0,N,Y,A,"This cable's connectors is not fit with Yagi Antenna  (model TY 24 15 14), so I need right one to connect. I want connect  cables one end with antenna and other  end with router.",2015-06-17
US,7662247,R1DDU0P1OMKKWF,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,Good extension for extra antenna,2015-06-10
US,37462175,R1H6QGIKBCX965,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,great,As described,2015-06-01
US,29242296,R34RK2X2801BYK,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Good,good cable for extra distance,2015-05-24
US,38804093,RFJLQTZ1DXVD3,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,exactly what we needed,"This was exactly what we needed, we searched several stores in our area and could not find the cable we needed. Very happy we found this.",2015-05-21
US,16735022,RNAI3ZGDXEKKS,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,2,0,0,N,Y,Two Stars,The losses are high for this cable.,2015-05-17
US,34889205,R3H543AIV4OHMY,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,"ITS A CABLE, SO WHAT.",2015-05-11
US,22122465,R33ZGCMZUI2XN1,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Eh.,"While it does the job and can be hidden easily, the manufacturing works against itself.  The signal often gets 'lost' or distorted by the time it makes it through all that cord.  Wish it transferred the signal better.",2015-05-10
US,860542,RY5OJTY33LYN7,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,2,0,0,N,Y,I found better cables. ,"Cable too small, too much loss. I found better cables.😞",2015-05-06
US,13344917,RCAP7BSS5VFRP,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Works well!,It worked and was long enough to setup cam.  But had to get adapters to get antenna to fit.,2015-05-06
US,12277451,R329E10EN7BHE3,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Four Stars,Works so promised,2015-04-29
US,52268230,R3ESETV6584I4J,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,2,0,0,N,Y,Two Stars,This cable severely reduces the quality of the signal to the PC,2015-04-27
US,43292808,R2TSPPKLW4NUW2,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Works well,Works well. I would buy again. I used it to connect my wifi antenna to my RV. Would buy again. Fast shipping.,2015-04-25
US,4835930,R2UCRN5P58MKIU,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,bien,2015-04-06
US,38216503,R1CY7KG83LU6QZ,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,1,0,0,N,Y,not recommended,No good. Made signal worse.  Probably too long. Sould have read more reviews first.,2015-04-05
US,34256904,RJM1UXSWDJ3TG,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Good cord,Work very well with my antenna.,2015-03-31
US,10644065,R235CYG0Q30X7G,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,1,0,0,N,Y,One Star,Made the signal even weaker. This is too long of a coax cable to increase a weak signal.,2015-03-21
US,43581213,R2PJWNTEFFU5WQ,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,7,7,N,Y,so pin to pin no good..,"Ok I got this to bring antenna farther from camera, but both ends have a pin...I need a outer threaded end with no pin to reconnect antenna that has a pin.....so pin to pin no good......HELP !!!  --&#62; see pic<br />Good quality product, just need a adapter ....any ideas here ????",2015-03-10
US,993622,RQ3BKWJOKCIGL,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,1,0,0,N,Y,One Star,If I could give this no stars it would be better,2015-03-04
US,8533842,R27XX7BVBST9B9,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Four Stars,could be lower ohmage,2015-02-23
US,19566081,R1TG2GSGOYF3YI,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,Great,2015-02-22
US,1691543,R6EMY273IV800,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,great price,2015-02-10
US,42959493,R2MQX8Q7OXEA8K,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,It is a wire.,2015-02-09
US,46984001,RZRJ4FUPECQ4A,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,great,Works as advertised,2015-02-07
US,47362195,R2DCZJVUOIJRQ0,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,great,2015-02-07
US,5900723,R3SRDY9SH5TYY1,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,,Excellent product good shipment,2015-02-03
US,27071604,R3OQ1WJUXW71QH,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,sma cable,well made cable ends.....,2015-02-01
US,42906608,R23BALR6GFCEYX,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,1,0,1,N,Y,Does not fit,"The size does not fit on my tv, either on my antenna, waste of money. I will need another one.",2015-01-19
US,13352878,R1R59FUCMSD4HX,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Just what I expected. Thin enough to fish through ...,"Just what I expected. Thin enough to fish through my 2010 Escape and hide it, no signal loss, and enough slack to be able to use my HT without a external mic.",2015-01-18
US,43964085,R21LXA823G6LGA,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,3,0,0,N,Y,Three Stars,I bought the wrong connectors on this cable it is reverse polarity ends.,2015-01-17
US,16139205,R2BVZUGTDX6QC5,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Four Stars,Seems to help our wifi reception in other rooms.  But it's hard to tell because the reception is variable.,2015-01-12
US,44113510,R1CCZST82J1VYE,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,1,19,20,N,Y,"Dont Use to extend your WIFI antenna ""WONT WORK PERIOD"" -- Attenuation at 5M for 2.4ghz yields a NEGATIVE Gain for 15db ant...","This is a RG174 cable with 75db loss at 100ft ... this is 5Meter so 15ft.. so even attaching a Yagi with 15db gain, you will lose all of the gain the attenna was supposed to give you just in the cable losses due to the cable attenuation,  So basically 1.3db loss per foot, so 15 ft (5meters) will be 1.3 x 15 = 20db loss.  Honestly people, you should be running a 1-10 ft max to your antenna, with anything longer you are going to be losing too much signal. Search for Rg-174 attenuation... look at the 2.4ghz attenuation and it will be 75db LOSS at 100ft, thats 1.3db loss per foot. Lesson learned here. If you are looking for better reception of your wireless router, use one of the simple DIY aluminum parabolic reflectors on one of your antennas directly at your router -- thats what i did to remedy my router issue.  The one star was because this cable will do nothing for you at 2.4ghz, it is a pure waste of money, anyone saying they got better reception is full of crap. This is science, there is signal loss through this length of the cable (5meter), greater than the signal gained by the antenna you are extending.",2015-01-12
US,26050090,R1B61F18J84AGM,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,1,0,0,N,Y,"Don't buy it, esp if you run 5Ghz network","5m RG174 (which it is per answer) has 9.9dB loss at 2.4Ghz and 18.6 at 5.8Ghz. You won't have 18.6dB loss on 5m wireless signal unless you have 5m of concrete. Here is a cable loss calculator, if you don't believe: http://www.arrg.us/pages/Loss-Calc.htm",2014-12-30
US,15985319,R1NW04AIUQ2UB6,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,3,0,1,N,Y,Three Stars,Never hooked it up,2014-12-15
US,51225178,R1T23O4WYEDLS1,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,2,2,N,Y,Five Stars,My kotatsu now has wifi and bluetooth antennae built-in. It's a cable. It works.,2014-12-11
US,33835656,R2PR3PFEAJ0T03,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Four Stars,it works .,2014-12-09
US,16331577,R16JHUQK3SAJQE,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,great product,2014-11-30
US,26827306,R1UGTVCUI5CYA4,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,3,0,1,N,Y,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,I bought this thinking that this was a TV antenna extension cable but it's not. This is a wifi antenna extension cable.,2014-11-27
US,22114466,R27QDFR713EVQS,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Four Stars,Good,2014-11-27
US,48747084,R3N326COBUB2VD,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,3,0,0,N,Y,the longer the cable the more loss you get,"It's ok, but remember, the longer the cable the more loss you get",2014-11-16
US,45818478,R38AYI31RSNMY0,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,N,Works great,I used this cable to 'eliminate' one wall between my WiFi router and WiFi security cameras. Works perfectly for me. I would say before buying a booster try the cable first if you don't mind drilling your walls.,2014-11-02
US,17007556,RO5TMJVGSJBT9,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,Thank you from Don,2014-11-01
US,33293908,R12HFMTHLMWFPI,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,Works as expected.,2014-10-18
US,13551244,R34TXO1F41WXDS,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,5,5,N,Y,Perfect for solving wifi/router issues,"I have a new router and 3 antennas.  I was excited but---as things transpired the router had to be put on the floor vs up on top of  an bookcase where the old one was.  The old one had no antennas and looked very insignificant, and this new router was very easy to see.  So putting it on the floor made the wifi reception terrible, and unacceptable.  What worked before didn't now, where I had 4-5 bars of signal, I had 1-2 now.<br /><br />MY OPTIONS:<br />1- move router to higher location---not practical<br />2- move router to middle of house---not practical<br />3- use old router--possible, but would lose 802.11ac<br />4- accept as is--not practical<br />5- try some other way to get the router up &#34;high&#34; ---enter these cables.<br /><br />I installed the cables, very easily.  They screw on where the antenna screwed on.  Then I routed them up to the ceiling and checked the wifi signal strength.  Now its back to 5 bars.  So I am now able to use whatever router, put it wherever I want to, and move the antenna where it needs to be for best reception to/from me.  Perfect.",2014-10-18
US,19687727,R3AW51OX5MP9DT,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,works great and without signal loss. Great for outdoor use when you antenna connection isn't long enough.,2014-10-05
US,43144736,R3JCKQ1LAVFWS2,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,Great buy!,2014-09-24
US,16365291,R11ZI2UU844UB5,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,3,0,0,N,Y,Three Stars,Did its job,2014-09-22
US,12776011,R3FKXOTS21P33C,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Great cable for the price.,"Yes as with every extension cable there is some signal loss. No way to prevent this. I did improve overall signal strength by using an outside antenna, I am transmitting .25 miles between houses. This cable was a lot smaller than the one I replaced, yet worked better.",2014-09-19
US,46950667,R22D2UUHHJGTUX,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,excelent service and product,"Its Ok, excelent service and product",2014-09-08
US,32467267,R3EC8KN11C6CHR,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,good product,2014-09-04
US,17113999,R2AIQ1M6IM8K2M,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,3,0,0,N,N,Three Stars,Great seller  OK product.,2014-09-02
US,12462341,R3MNADS7OEOM9Y,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,N,Just works,Great bang for your buck. I was able to extend the signal of my router to adjacent rooms. Did not notice any signal loss.,2014-09-01
US,49647013,R21DO6CWFPGPOU,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,2,0,0,N,Y,too much signal loss,A much shorter extension might work.,2014-08-31
US,19724072,R2UNAZ36W79L4L,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,1,0,0,N,Y,Received one w 2 female connectors,Both ends were females... the one I received was useless.,2014-08-28
US,22338871,R2ULSBJJM0EO7D,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,Nice product! No lost of signal strength with the extended length,2014-08-16
US,52368662,R1PDK48GSKV05N,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,3,0,0,N,Y,Three Stars,Quite a bit of loss.,2014-07-16
US,10700387,R2WGP5DNP47CYM,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Perfect!,Perfect!,2014-07-12
US,32853471,RBCT3DNVTRA81,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,works,2014-07-01
US,1564618,RIBUC5D0T3P5L,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Works great,"Does what it should, used it with an outdoor antenna. If you do this make sure to tape the connection or heat shrink it to prevent corrosion. Indoors you shouldn't have that issue.",2014-06-07
US,16916234,R3GHT0SF983FPI,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,Great product and I'd recommend the seller to all.,2014-05-19
US,28409624,R2T9HIBVWJ8AZ8,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Very nive quality on the connectors...,I have this plugged into an old workstation in a remote part of the house.  It allows me to monkey with the position of the antenna without crawling around or moving the case.,2014-04-17
US,48586186,R2CATXIRV0YWJ7,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Good Value,"Very well built with just the right sized connectors for use with an outside WiFi antenna , Radio Shack did not have them at any price but Amazon came through.",2014-04-10
US,22753278,RXX3NOAX2JPZJ,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,SMA Antenna Extension,"Just as expected.  Needed to extend antenna to get signal closer to receiver, and this filled the bill.  Did the job and signal is excellent at th receiver.",2014-03-21
US,52222681,R3QL4L08J5PP8G,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,2,0,0,N,Y,Save your $,Whatever gain you might enjoy with the increased length will be more than erased with the increase in line loss caused by the small diameter.  Don't bother.,2014-03-12
US,22976582,R3CPTWBMW59X3X,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,1,0,0,N,Y,JUNK,"The minute I hook this extension up to my device, I lose all signal. DO NOT BUY. I do NOT recommend.",2014-02-28
US,39906272,RF0GNUP29A3DJ,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,3,0,0,N,Y,Description should be clearer,The description is somewhat wrong. A RP-SMA Female is the one with the pin inside since the &#34;RP&#34; stands for Reverse polarity. Yes later on it says &#34;without pin&#34; but what this cable is actually is a SMA Female to RP-SMA Male. Which means no pins on it at all. Does not work with anything that i know of and i own 3 wireless routers (2 ASUS and 1 Buffalo). Look at this listing for what a RP-SMA Female should look like: http://www.amazon.com/gp/product/B0099SHDKE/ref=ox_sc_act_title_3?ie=UTF8&psc=1&smid=A2PXC5AB6J60IH,2014-02-09
US,51058195,RB0C8D84VJW6L,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,1,0,0,N,Y,failed as an extension cable,"Received the cable, and found it was missing the metal lead in one end. This made it completely worthless as an extension cable. Had to send it back.",2014-02-02
US,28244761,R1OS6ADQA8MZRC,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,ready,good morning and received the shipment and estyoy satisfied with the product purchased and recommend with confidence to potential customers,2014-01-11
US,48756132,R3TBV9YU6N96FX,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,works ok,"cable works well but with signal lost. fair , you get what you pay.will work well around a house from one place to another.",2014-01-09
US,13179091,RFVJXDLTGKCKC,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Exactly What I Expected,"I ordered this cable in order to mount a Wi-Fi antenna in an elevated location for better reception.  The connectors on this cable are of high quality and the length is very generous.  I've been using it continually now for a couple of months and haven't had an issue.<br /><br />The only thing to consider is that because the cable is so long, there is a bit of a drop in signal strength (around 5-6 percent it seems) due to the natural resistance of the cable.  This is a non-issue to me due to the quality of the antenna to which it is connected but others may find that useful.",2014-01-08
US,23012682,R3TEBSJUYKATC3,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Easiest Fix There Is,"I was getting ready to move my wireless router to a more central location in the house so that every room had good wireless access, when I saw this $5 cable.  What a life saver!  I figured spending $5 bucks on something that might work was worth it, so it came in and I had it installed in 2 seconds.  My router has 2 wireless antennae on it, so I just unscrewed one of them and put on this cable in its place.  I then stretched out the cable to another room... way up high... and put the antenna back on the end of the cable.  Done!<br />I love it.",2013-12-30
US,34103570,R3DF0DBH0BVEO2,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,"Works on Routers, but not on Ip Camera's","Didn't work on my Foscam Ip Camera, Figure i would try! but worked great on my router with SMA Connections",2013-12-09
US,17128574,R1JPRJD0MQFTID,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,1,1,N,Y,"Great, but check the SMA size",Great price for a 5M extension cable.  You need to make sure that your SMA connection is the right size though.  I ended up needing an adapter from my router.  That said it was my mistake and have been very pleased with this purchase.  I used this item to move one of my antennas into the attic above a dead space in my house and it has work wonders!,2013-11-30
US,15274390,R1GDZ3M0Q41B8P,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,1,0,0,N,Y,Useless--,Useless.  I actually lost signal strength when I attached it to the TP-link antenna.  Probably too long. Do not recommend,2013-11-14
US,18277230,R37BTBBNN76IWF,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,3,0,0,N,Y,I received the order on time,I received the order on time. It is my mistake as I thought that this will work in extending the cable of the Nagoya antenna I purchased for the Baofeng HT radios. It is not the same as it is RP-SMA instead of just SMA. This is good for wifi routers but not for radio transceivers. It works for what it was made for though.,2013-11-13
US,2495547,R3L89WNHNFFRMA,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,These extension cables worked perfectly for my application!,"I was in need of a way to improve reception on some remote cameras, and these cables worked perfectly for the application!",2013-10-24
US,14535753,R1EO1TRMBTDJ2N,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Wifi extention cable,"It's a cable to extend the outside wifi antenna connection, it works but does require an amp to recover the losses with the longer wire.",2013-10-15
US,47252188,R16O8OH13AIAB5,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,1,7,7,N,Y,Too much loss,"This cable has way too much loss. unless you live in a bunker and need 5m of cable to go through the wall, to reach an access point which is within 10 meters, it's pretty much useless. Would not recommend.<br /><br />I get better signal through a couple of house inside a wood basement and with a 3dbi omni antenna than i do outside the 2 houses with this antenna and a patch antenna pointed in the right direction. Crazy.<br /><br />I did check the cable for continuity and the signal as well as the shield are fine. I suspect the shield is of terrible quality.",2013-10-12
US,15469663,R18NYLD0F3ADMS,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,4,0,0,N,Y,Yoomail 5M Antenna WIFI RP-SMA Female to Male Extension Cable,"The Cable is very long, but one end on the WIFI Antenna was Faulty. But I fixed it. I do not blame the Manufactures, because, sometimes in Production, things, just get through, without getting caught. Or the Inspector, just does not catch it in time. Beside the small defect, which I fixed, no big deal. I do Recommend this WIFI ANTENNA CABLE. Jim in Ohio.",2013-10-06
